Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,Display Type,Refresh Rate,TV Operation System,Exchange Possible,Projector Resolution,Image Brightness,Projector Features,Operating System,Maximum Resolution,Storage Capacity,Connectivity
Samsung,"55"" Crystal UHD AU7002",TVs,55 inches,LED,Brand New,"Unveil Authentic 55"" Crystal UHD AU7002 Smart TV","GH₵ 6,999",,,,,,,,,,,,
Hitachi,Hitachi,TVs,32 inches,LED,Used,"Hitachi 32"" Inch Digital Smart Full HD TV","GH₵ 1,500",1080p (FullHD),,,,,,,,,,,
Smeco,32,TVs,32 inches,LED,Brand New,Smeco 32inch TV Digital Satellite,"GH₵ 1,049",1080p (FullHD),Glossy,60 Hz,Without Smart TV,No,,,,,,,
LG,LG,TVs,55 inches,LED,Used,"4K LG 55"" Inch Smart Satellite Ultra HD Led TV","GH₵ 5,500",,,,,,,,,,,,
Nasco,,TVs,,,Brand New,Watch Amazing 50 Smart Nasco With Youtube Netflix,"GH₵ 2,099",,,,,,,,,,,,
LG,LG,TVs,43 inches,LED,Used,"LG 43"" Inch Smart Satellite Full HD Led TV","GH₵ 3,500",1080p (FullHD),,,,,,,,,,,
Nasco,,TVs,,,Brand New,Original Nasco 50 Digital Satellite Tv,"GH₵ 2,499",,,,,,,,,,,,
Syinix,syinx,TVs,55 inches,LED,Brand New,Powerful Syinix 55inch Smart Uhd Android Tv,"GH₵ 4,990",,,,,,,,,,,,
LG,LG,TVs,32 inches,LED,Used,"LG 32"" Inch Full HD Digital Led TV","GH₵ 1,350",1080p (FullHD),,,,,,,,,,,
PEARL,PLT-CKHHD-19S,TVs,32 inches,LED,Brand New,New HD 32” Pearl Led Digital Satellite Television,"GH₵ 1,099",1080p (FullHD),,,,No,,,,,,,
Sony,Sony,TVs,50 inches,LED,Used,"Sony 50"" Inch Android Smart Satellite Full HD TV","GH₵ 4,900",1080p (FullHD),,,,,,,,,,,
Samsung,85q60b,TVs,85 inches,QLED,Brand New,Replace Your Tv With Excellent 85inch QLED Samsung 85q60b,"GH₵ 3,499",,,,,,,,,,,,
Samsung,Samsung,TVs,32 inches,LED,Used,"Samsung 32"" Inch Smart Satellite Led TV","GH₵ 1,600",1080p (FullHD),,,,,,,,,,,
LG,LP5000,TVs,32 inches,LED,Brand New,Buy New LG Lp50 32 Inch HD TV (32lp500bpta),"GH₵ 1,799",,,,,,,,,,,,
Nasco,NASCO 43,TVs,43 inches,LED,Brand New,"Tv in Stock — Nasco Satellite, Smart, Curve, UHD","GH₵ 2,099",,,,,,,,,,,,
Other,Asano,TVs,32 inches,LED,Brand New,Solid Asano 32 Inch Digital Satelite LED Tv(Black),"GH₵ 1,099",,,,,,,,,,,,
Other,Ds2,TVs,55 inches,LED,Brand New,Asano Ds2 Smart Clear Pictures 55” Uhd Android Tv Plus DSTV,"GH₵ 5,899",2160p (4K),,144 Hz,,,,,,,,,
VIZIO,AP7-U75-02,TV,,,Brand New,Vizio 75 Smart Tv,"GH₵ 8,999",,,,,No,,,,,,,
Asano,Asano,TVs,32 inches,LED,Brand New,Budget-friendly Asano 32 Inch Smart Full Hd Tv,"GH₵ 1,449",,,,,,,,,,,,
Epson,EB-X03,Projector,,,Used,Epson EB-X03 Original Projector With Remote Uk Pre Owned,"GH₵ 2,400",,,,,No,1920x1080 (Full HD 1080p),3000,"Rear Projection, DVD Player, 3D, Bluetooth",,,,
Sony,Sony,TVs,50 inches,LED,Used,"Android 49"" Sony Digital Smart Full HD Led TV","GH₵ 3,900",1080p (FullHD),,,,,,,,,,,
Pearl,32CKHHD -19S,TVs,32 inches,LED,Brand New,Pearl 32inch TV Digital Satellite,"GH₵ 1,099",1080p (FullHD),Glossy,60 Hz,Without Smart TV,No,,,,,,,
Sharp,2018,TVs,55 inches,LED,Used,Sharp 55 Inches Smart Digital Satellite Tv,"GH₵ 4,000",2160p (4K),,,Smart TV (own system),,,,,,,,
Nasco,,TVs,,,Brand New,Fitting 43 Inches Nasco With Satellite Digital,"GH₵ 1,699",,,,,,,,,,,,
Toshiba,43,TVs,43 inches,LED,Brand New,Toshiba 43inch TV Frameless,"GH₵ 2,300",1080p (FullHD),Matte,60 Hz,Without Smart TV,No,,,,,,,
Bruhm,43SV,TVs,43 inches,LED,Brand New,Smart Tv With Youtube(Bruhm 43),"GH₵ 2,799",1080p (FullHD),,,Smart TV (android AOSP),,,,,,,,
TCL,65P635,TVs,65 inches,LED,Brand New,Heartwarming TCL 65inch Smart Android Google HDR TV,"GH₵ 7,499",1080p (FullHD),,,Google TV,No,,,,,,,
Pearl,32CKHHD -19S,TVs,32 inches,LED,Brand New,Pearl 32inch TV Digital Satellite,"GH₵ 1,099",1080p (FullHD),Glossy,60 Hz,Without Smart TV,No,,,,,,,
LG,LG 55uq7500,TVs,55 inches,LED,Brand New,Quality Yet Affordable LG 55 Inch Uhd LED Tv(55uq7500).,"GH₵ 6,999",,,,,,,,,,,,
Pearl,32CKHHD -19S,TVs,32 inches,LED,Brand New,Pearl 32inch TV Digital Satellite,"GH₵ 1,099",1080p (FullHD),Glossy,60 Hz,Without Smart TV,No,,,,,,,
Samsung,CU80,TVs,85 inches,LED,Brand New,Cu80 Samsung LED Glossy UHD Smart 85 Inches Black Tv,"GH₵ 29,799",2160p (4K),Glossy,,,,,,,,,,
Skyworth,Skyworth,TVs,43 inches,LED,Brand New,Strong Skyworth 43 TV UHD,"GH₵ 3,000",,,,,,,,,,,,
LG,LG 55uq7500,TVs,55 inches,LED,Brand New,Quality Yet Affordable LG 55 Inch Uhd LED Tv(55uq7500).,"GH₵ 6,999",,,,,,,,,,,,
Nasco,,TVs,55 inches,LED,Brand New,Best Nasco 55 Inches Smart 4K UHD TV,"GH₵ 3,999",2160p (4K),Glossy,,,,,,,,,,
Nasco,32inch,TVs,32 inches,LED,Brand New,Nasco 32inch TV Digital/Satellite,"GH₵ 1,099",1080p (FullHD),Glossy,120 Hz,,No,,,,,,,
Nasco,,TVs,32 inches,LED,Brand New,First Rate Nasco 32 Smart Android TV,"GH₵ 1,350",1080p (FullHD),,,,,,,,,,,
Global Star,32,TVs,32 inches,LED,Brand New,"Global Star Smart Digital Satelite TV 32""","GH₵ 1,299",,,,Smart TV (android AOSP),,,,,,,,
Other,,TVs,43 inches,LED,Brand New,Syiniv 43inch Icast TV,"GH₵ 2,100",1080p (FullHD),Glossy,60 Hz,,,,,,,,,
Nasco,Nas-J32FB,TVs,32 inches,LED,Brand New,Bestselling Nasco 32inches HD TV,"GH₵ 1,099",1080p (FullHD),,,,No,,,,,,,
Nasco,,TVs,,,Brand New,55inches Nasco Uhd 4k Tv Digital Satellite – NAS-T,"GH₵ 2,599",,,,,,,,,,,,
Nasco,nas-h32fb,TVs,32 inches,LED,Brand New,Superb Nasco 32inch Digital Satellite Led Tv.,"GH₵ 1,149",,,,,,,,,,,,
Nasco,j32fb,TVs,32 inches,Plasma,Brand New,Original Brand New Nasco Tv,"GH₵ 1,300",,Glossy,,,,,,,,,,
Nasco,Nasco 32,TVs,32 inches,LED,Brand New,NASCO Even and Clearet Image 32”,"GH₵ 1,089",,,,,,,,,,,,
Pearl,PLT-32CKHHD-19S,TVs,32 inches,LED,Brand New,Best_pearl 32inches Led Digital Tv,GH₵ 999,720p (HD),Matte,120 Hz,Without Smart TV,No,,,,,,,
Samsung,,TVs,,,Brand New,New Samsung 49 Uhd Curve 4K Smart TV,"GH₵ 3,600",,,,,,,,,,,,
Other,Asano,TVs,32 inches,LED,Brand New,Quality Asano 32 Inch Smart Digital Satelite LED Tv(Black).,"GH₵ 1,449",,,,,,,,,,,,
Other,Asano 43,TVs,43 inches,LED,Brand New,43”~Smart Android {+Free DSTV} Asano Tv,"GH₵ 3,700",1080p (FullHD),Glossy,,,,,,,,,,
Other,,TVs,43 inches,,Brand New,TV Nasco 1080P TV,"GH₵ 1,679",,,,,,,,,,,,
LG,LG,TVs,50 inches,LED,Used,"50"" LG Smart Satellite Ultra HD TV","GH₵ 3,900",2160p (4K),,800 Hz,,,,,,,,,
Nasco,,TVs,,,Brand New,Sensational 50 Smart Nasco With Youtube Netflix,"GH₵ 2,099",,,,,,,,,,,,
Smart,32lk50,TVs,32 inches,LED,Brand New,"TV 32"" Smart (Global Star)","GH₵ 1,299",,,,Smart TV (android AOSP),,,,,,,,
Samsung,Au7000,TVs,55 inches,LED,Brand New,Exuberant Modest Cu7000 Samsung Quality UA55AU7000 Uhd,"GH₵ 6,999",,,,,,,,,,,,
Nasco,nas-p40fbd,TVs,40 inches,LED,Brand New,Unique Nasco 40 Digital Satellite Tv,"GH₵ 1,500",,,,,,,,,,,,
TCL,43S5400A,TVs,43 inches,LED,Brand New,New Out Now TCL 43”Smart Android FHD Satellite TV(43S5400A),"GH₵ 3,300",1080p (FullHD),Glossy,60 Hz,Android TV,,,,,,,,
Other,,TVs,,,Brand New,New Nasco 40 Inches Digital Satellite TV,"GH₵ 1,799",,,,,,,,,,,,
TCL,43P635,TVs,43 inches,LED,Brand New,Angelic 4KHDR TCL Google 43inch TV,"GH₵ 3,699",2160p (4K),,,Google TV,No,,,,,,,
LG,,TVs,,,Brand New,Sweet Display <>55 Lg Smart Full Airplay + Magic Remote ¥,"GH₵ 3,849",,,,,,,,,,,,
LG,75UR78,TVs,75 inches,LED,Brand New,Affordable LG 75 Ur78 TV,"GH₵ 15,500",2160p (4K),Glossy,120 Hz,Smart TV (own system),No,,,,,,,
Nasco,Nasco,TVs,32 inches,LED,Brand New,Best Quality on Nasco 32 Inches Glossy LED Digital,"GH₵ 1,099",2160p (4K),Glossy,,,,,,,,,,
LG,50UP7800,TVs,50 inches,LED,Brand New,Neatly Sealed in Box LG 50”Smart Up7800 Uhd Hdr TV,"GH₵ 6,499",2160p (4K),Glossy,,,,,,,,,,
Asano,22,TVs,40 inches,LED,Brand New,"Digital Tv Asano 40""","GH₵ 1,899",1080p (FullHD),,,,,,,,,,,
Haier,h85s5ug,TVs,85 inches,LED,Brand New,Superb Haier 85inch Smart Uhd Android H85S5UG Tv,"GH₵ 20,499",,,,,,,,,,,,
Other,,TVs,,,Brand New,Quality PROTECH 32 Digitalal Satellite Led Tv FHD,GH₵ 999,,,,,,,,,,,,
Other,,TVs,,,Brand New,Protech 32 Inches Digital Slim LED TV New in Box,GH₵ 999,,,,,,,,,,,,
